layer,captured_objectid,auth_globalid,distance_ft,match_type,action,attachment_count,attachment_names
,100,84bf663e-5c74-45d4-a3a4-a16cdb358109,1.3177736533483506,clean,updated,0,
,101,ad5ff608-a226-4213-b4ef-87ac3edc856e,0.788930603183931,clean,updated,0,
,102,5f8eef91-c674-4cb3-8f8e-758836ca8344,1.2589418974133337,clean,updated,0,
,103,947ec583-0920-41cb-af79-cd8d607ac960,1.5207788076345747,clean,updated,0,
,104,108ffb16-7d95-4557-9f85-5a84cec02aba,1.2906574676296898,clean,updated,0,
,105,57d3d8b7-776d-4ba3-9d67-915e3cc225a6,1.350858132692774,clean,updated,0,
,106,f727caa4-d7b7-4e4b-979d-8bfe0f9d7295,0.7688339878094606,clean,updated,0,
,107,37145e56-019d-4f03-bbe6-ff95e42329e2,1.0259241254686953,clean,updated,0,
,108,92b96e43-b747-4504-820d-0c11952e5006,0.9946615662260186,clean,updated,0,
,109,19454413-e167-4d66-9302-8b8054873339,1.1431441519553858,clean,updated,0,
,110,2d1e1470-bd56-4d55-b997-78df221b33bf,1.2369807043474137,clean,updated,0,
,111,da119bbc-2125-450c-a34f-03daf95ec414,1.2995742387346736,clean,updated,0,
,112,27e49637-ddda-4427-853d-49592dd3a9f6,1.1170642369557158,clean,updated,0,
,113,88b5a160-0f6b-45ad-83a6-d31e28fc491b,1.6368775239864148,clean,updated,0,
,114,,,new,appended,0,
,115,,,new,appended,0,
,116,081f669a-5ac4-4246-89eb-05e223a244b7,1.0815581836622667,clean,updated,0,
,117,7c077a05-6299-40e1-b4d3-fbe19da851ae,0.8618042122158031,clean,updated,0,
,118,a3fa1d85-b4de-4219-8fc8-7ec9a2843656,0.7885026587930876,clean,updated,0,
,119,76d1fe7a-6e8f-4940-af61-05d9b5ce8dd2,0.6082662869137263,clean,updated,0,
,120,9e222e02-342f-45e6-ab4e-ff0aa8f931c6,1.097883390265762,clean,updated,0,
,121,,,new,appended,0,
,122,,,new,appended,0,
,123,,,new,appended,0,
,124,,,new,appended,0,
,125,,,new,appended,0,
,126,,,new,appended,0,
,127,,,new,appended,0,
,128,,,new,appended,0,
,129,,,new,appended,0,
,130,,,new,appended,0,
,131,,,new,appended,0,
,132,f13b62bc-1100-4ed3-bc36-a2276d6eb94c,7.049995492388582,clean,updated,0,
,133,44a4a9d1-e17c-456d-a2e7-d15546ba9c77,6.862515390790339,clean,updated,0,
,134,,,new,appended,0,
,135,,,new,appended,0,
,136,93b9c395-13ac-4fba-acd9-128b51714959,1.114120552029329,clean,updated,0,
,137,836dd22e-38b5-41d7-ba0e-a85dcd23cda7,1.3495780802152744,clean,updated,0,
,138,55af23ec-9fac-422c-a340-a14065075aff,1.9202189442243363,clean,updated,0,
,139,e3edbc2d-b2dc-4981-baf2-282ad9315e97,1.1953703322457283,clean,updated,0,
,140,13b435a1-3497-4210-9d48-c6020e1ad5b1,1.2292380378334617,clean,updated,0,
,141,ca88ec83-e1a5-4089-b653-170af527e61c,1.00318885072089,clean,updated,0,
,142,b8341b4b-f6d2-4388-be92-d7d79971816a,0.9077852321543388,clean,updated,0,
,143,8bd3be03-bc38-4102-b8d1-5212a80227de,1.6391025308517286,clean,updated,0,
,144,83229014-fa88-4eb6-9b44-6f9c44480706,1.6213028373924112,clean,updated,0,
,145,c28e4eac-6188-48b4-8820-5c88a024abe7,3.2676879716384963,clean,updated,0,
,146,5b30d0c8-86f8-4a04-9f41-c41328eeff9c,0.871169346762135,clean,updated,0,
